"State","District","Crop","Season","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Andhra Pradesh","Bapatla","Total Pulses","Total","1864.00","1444.00","1500.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Kharif","4054.00","3366.00","3552.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Rabi","5817.00","3414.00","4031.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Total","5012.00","3390.00","3797.00"
"Andhra Pradesh","Chittoor","Rice","Kharif","2997.00","3719.00","3783.00"
"Andhra Pradesh","Chittoor","Rice","Rabi","3403.00","3637.00","3237.00"
"Andhra Pradesh","Chittoor","Rice","Total","3153.00","3680.00","3581.00"
"Andhra Pradesh","Chittoor","Maize","Kharif","6207.00","7102.00","7300.00"
"Andhra Pradesh","Chittoor","Maize","Rabi","6289.00","6152.00","6361.00"
"Andhra Pradesh","Chittoor","Maize","Total","6241.00","6660.00","7034.00"
"Andhra Pradesh","Chittoor","Jowar","Kharif","927.00","1416.00","437.00"
"Andhra Pradesh","Chittoor","Jowar","Rabi","2356.00","2338.00","2108.00"
"Andhra Pradesh","Chittoor","Jowar","Total","1231.00","1589.00","621.00"
"Andhra Pradesh","Chittoor","Bajra","Kharif","2611.00","2118.00","2215.00"
"Andhra Pradesh","Chittoor","Bajra","Total","2611.00","2118.00","2215.00"
"Andhra Pradesh","Chittoor","Ragi","Kharif","1238.00","1693.00","1485.00"
"Andhra Pradesh","Chittoor","Ragi","Rabi","1234.00","",""
"Andhra Pradesh","Chittoor","Ragi","Total","1238.00","1693.00","1485.00"
"Andhra Pradesh","Chittoor","Small Millets","Kharif","434.00","511.00","488.00"
"Andhra Pradesh","Chittoor","Small Millets","Total","434.00","511.00","488.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Kharif","1391.00","1756.00","1641.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Rabi","1409.00","2338.00","2108.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Total","1393.00","1758.00","1642.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Kharif","2249.00","2728.00","2611.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Rabi","4173.00","6086.00","6304.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Total","2599.00","3194.00","2849.00"
"Andhra Pradesh","Chittoor","Cereals","Kharif","2816.00","3511.00","3592.00"
"Andhra Pradesh","Chittoor","Cereals","Rabi","3483.00","3746.00","3305.00"
"Andhra Pradesh","Chittoor","Cereals","Total","3045.00","3613.00","3496.00"
"Andhra Pradesh","Chittoor","Tur","Kharif","200.00","301.00","259.00"
"Andhra Pradesh","Chittoor","Tur","Total","200.00","301.00","259.00"
"Andhra Pradesh","Chittoor","Gram","Rabi","1333.00","706.00",""
"Andhra Pradesh","Chittoor","Gram","Total","1333.00","706.00",""
"Andhra Pradesh","Chittoor","Urad","Kharif","736.00","816.00","771.00"
"Andhra Pradesh","Chittoor","Urad","Rabi","857.00","851.00","992.00"
"Andhra Pradesh","Chittoor","Urad","Total","839.00","848.00","973.00"
"Andhra Pradesh","Chittoor","Moong","Kharif","576.00","358.00","457.00"
"Andhra Pradesh","Chittoor","Moong","Rabi","945.00","568.00","668.00"
"Andhra Pradesh","Chittoor","Moong","Total","767.00","464.00","573.00"
"Andhra Pradesh","Chittoor","Other Pulses","Kharif","374.00","357.00","752.00"
"Andhra Pradesh","Chittoor","Other Pulses","Rabi","553.00","597.00","609.00"
"Andhra Pradesh","Chittoor","Other Pulses","Total","472.00","537.00","622.00"
"Andhra Pradesh","Chittoor","Total Pulses","Total","435.00","538.00","623.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Kharif","2074.00","2912.00","3229.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Rabi","2378.00","2409.00","1457.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Total","2188.00","2652.00","2192.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Kharif","3082.00","3518.00","3210.00"
